"example_id","design_block","G","theta_true","theta_CV","sigma","mean_nsamp","N_h","n_h","requested_rate","realized_rate","inclusion_probability"
191,"Poisson","4","0.5","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
192,"Poisson","8","0.5","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
193,"Poisson","2","0.5","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
194,"Poisson","4","0.5","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
195,"Poisson","8","0.5","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
196,"Poisson","2","0.5","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
197,"Poisson","4","0.5","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
198,"Poisson","8","0.5","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
199,"Poisson","2","1","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
200,"Poisson","4","1","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
201,"Poisson","8","1","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
202,"Poisson","2","1","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
203,"Poisson","4","1","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
204,"Poisson","8","1","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
205,"Poisson","2","1","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
206,"Poisson","4","1","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
207,"Poisson","8","1","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
208,"Poisson","2","2","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
209,"Poisson","4","2","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
210,"Poisson","8","2","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
211,"Poisson","2","2","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
212,"Poisson","4","2","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
213,"Poisson","8","2","0.2","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
214,"Poisson","2","2","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
215,"Poisson","4","2","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
216,"Poisson","8","2","0.6","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
217,"Poisson","2","0.5","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
218,"Poisson","4","0.5","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
219,"Poisson","8","0.5","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
220,"Poisson","2","0.5","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
221,"Poisson","4","0.5","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
222,"Poisson","8","0.5","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
223,"Poisson","2","0.5","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
224,"Poisson","4","0.5","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
225,"Poisson","8","0.5","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
226,"Poisson","2","1","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
227,"Poisson","4","1","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
228,"Poisson","8","1","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
229,"Poisson","2","1","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
230,"Poisson","4","1","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
231,"Poisson","8","1","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
232,"Poisson","2","1","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
233,"Poisson","4","1","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
234,"Poisson","8","1","0.6","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
235,"Poisson","2","2","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
236,"Poisson","4","2","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
237,"Poisson","8","2","0","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
238,"Poisson","2","2","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
239,"Poisson","4","2","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
240,"Poisson","8","2","0.2","1","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
