"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"DMstrong",125,4,"MN",TRUE,0.143443368616329,NA,0.172,0.488,0.34
"DMstrong",125,4,"DM",TRUE,0.142930966911829,1.56801086776753,0.173654392809867,0.486733524064483,0.339612083125651
"MN",250,4,"MN",TRUE,0.0226862660362314,NA,0.168,0.318,0.514
"MN",250,4,"DM",TRUE,0.0226885084867932,1491.03462210571,0.167996703948026,0.318000249384495,0.514003046667479
"DMstrong",250,4,"MN",TRUE,0.0198662192343351,NA,0.184,0.328,0.488
"DMstrong",250,4,"DM",TRUE,0.0258171580126723,0.0243885247681924,0.234191767643839,0.271814447976586,0.493993784379575
"MN",25,5,"MN",TRUE,0.0748331477354788,NA,0.22,0.2,0.58
"MN",25,5,"DM",FALSE,0.0748677450247572,3667.74001315684,0.220000110341716,0.19995681317893,0.580043076479354
"DMstrong",25,5,"MN",TRUE,0.0282842712474619,NA,0.18,0.34,0.48
"DMstrong",25,5,"DM",TRUE,0.0269836800473327,6.59306336529772,0.181146254280652,0.338159792788005,0.480693952931343
"MN",125,5,"MN",TRUE,0.0311555238547945,NA,0.22,0.324,0.456
"MN",125,5,"DM",TRUE,0.0311413612243852,3466.71759103246,0.219994579096384,0.323985635185125,0.456019785718491
"DMstrong",125,5,"MN",TRUE,0.143443368616329,NA,0.172,0.488,0.34
"DMstrong",125,5,"DM",TRUE,0.143443520351286,6221.97536890278,0.172002486578626,0.487999244433623,0.339998268987751
"MN",250,5,"MN",TRUE,0.0139522996909709,NA,0.218,0.298,0.484
"MN",250,5,"DM",TRUE,0.0139554717999067,274.302759251864,0.218004229520177,0.297999212205249,0.483996558274574
"DMstrong",250,5,"MN",TRUE,0.110453610171873,NA,0.34,0.17,0.49
"DMstrong",250,5,"DM",TRUE,0.0565620870702082,0.018117974811597,0.279095608766538,0.250116914004954,0.470787477228508
"MN",25,6,"MN",TRUE,0.058878405775519,NA,0.22,0.22,0.56
"MN",25,6,"DM",FALSE,0.058864139196236,4624.75123935716,0.220048479796594,0.220004164662161,0.559947355541245
"DMstrong",25,6,"MN",TRUE,0.0816496580927726,NA,0.1,0.3,0.6
"DMstrong",25,6,"DM",TRUE,0.0816428042660218,17512.643728972,0.100006369061849,0.300004050377679,0.599989580560472
"MN",125,6,"MN",TRUE,0.0284722086720835,NA,0.184,0.276,0.54
