"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
81,"hake_ex81.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
82,"hake_ex82.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
83,"hake_ex83.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
84,"hake_ex84.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
85,"hake_ex85.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
86,"hake_ex86.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
87,"hake_ex87.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
88,"hake_ex88.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
89,"hake_ex89.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
90,"hake_ex90.inp","Lognormal",2,"mean_nsamp",-1,"sigma",-1,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.25,25,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
