"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
197,"hake_ex197.lst","Negative binomial","(v)","(iii)","(iii)",NA,1,0.4,0.34,0.33,NA,1,0.25,0.46,0.45,NA,1,0.25,0.46,0.45,8.5046,4,NA,NA,NA,NA,9.4523,4,NA,NA,NA,NA,9.4523,4,NA,NA,NA,NA
198,"hake_ex198.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.023,0.282,0.767,1,NA,0.017,0.192,0.829,0.829,NA,0.017,0.192,0.829,0.829,18.228,4,NA,NA,NA,NA,20.222,4,NA,NA,NA,NA,20.222,4,NA,NA,NA,NA
199,"hake_ex199.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0821,0.3195,0.7069,0.7737,NA,0.131,0.2,0.622,0.622,NA,0.131,0.2,0.622,0.622,16.48,4,NA,NA,NA,NA,13.735,4,NA,NA,NA,NA,13.735,4,NA,NA,NA,NA
200,"hake_ex200.lst","Negative binomial","(ii)","(v)","(v)",NA,0.4005,0.4005,1,0.4005,NA,0.491,0.375,0.838,0.299,NA,0.491,0.375,0.838,0.299,27.938,4,NA,NA,NA,NA,29.846,4,NA,NA,NA,NA,29.846,4,NA,NA,NA,NA
201,"hake_ex201.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.00015,1,1,1,NA,0.00019,0.97699,0.82538,0.97699,NA,0.00019,0.97699,0.82538,0.97699,30.622,4,NA,NA,NA,NA,30.917,4,NA,NA,NA,NA,30.917,4,NA,NA,NA,NA
202,"hake_ex202.lst","Negative binomial","(iii)","(ii)","(ii)",NA,1,0.77,1,1,NA,1,1,1,1,NA,1,1,1,1,3.3354,4,NA,NA,NA,NA,2.56,4,NA,NA,NA,NA,2.56,4,NA,NA,NA,NA
203,"hake_ex203.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,5.1077,4,NA,NA,NA,NA,4.3446,4,NA,NA,NA,NA,4.3446,4,NA,NA,NA,NA
204,"hake_ex204.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.17,1,1,1,NA,0.2,1,1,1,NA,0.2,1,1,1,14.634,4,NA,NA,NA,NA,14.178,4,NA,NA,NA,NA,14.178,4,NA,NA,NA,NA
205,"hake_ex205.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.07,1,1,1,NA,0.082,1,1,1,NA,0.082,1,1,1,12.64,4,NA,NA,NA,NA,13.415,4,NA,NA,NA,NA,13.415,4,NA,NA,NA,NA
206,"hake_ex206.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0.35692,4,NA,NA,NA,NA,1.6862,4,NA,NA,NA,NA,1.6862,4,NA,NA,NA,NA
207,"hake_ex207.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0035,1,1,0.5874,NA,0.0039,1,1,1,NA,0.0039,1,1,1,22.142,4,NA,NA,NA,NA,20.111,4,NA,NA,NA,NA,20.111,4,NA,NA,NA,NA
208,"hake_ex208.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.6338,4,NA,NA,NA,NA,2.9292,4,NA,NA,NA,NA,2.9292,4,NA,NA,NA,NA
209,"hake_ex209.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.053,0.446,0.127,0.333,NA,0.037,0.58,0.111,0.347,NA,0.037,0.58,0.111,0.347,17.969,4,NA,NA,NA,NA,17.391,4,NA,NA,NA,NA,17.391,4,NA,NA,NA,NA
210,"hake_ex210.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0046,1,1,1,NA,0.0046,1,1,1,NA,0.0046,1,1,1,21.145,4,NA,NA,NA,NA,20.382,4,NA,NA,NA,NA,20.382,4,NA,NA,NA,NA
211,"hake_ex211.lst","Negative binomial","(iv)","(iv)","(iv)",NA,0.237,0.985,0.091,0.528,NA,0.25,1,0.036,0.808,NA,0.25,1,0.036,0.808,14.375,4,NA,NA,NA,NA,14.154,4,NA,NA,NA,NA,14.154,4,NA,NA,NA,NA
212,"hake_ex212.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.021,1,1,1,NA,0.026,1,1,1,NA,0.026,1,1,1,13.132,4,NA,NA,NA,NA,14.462,4,NA,NA,NA,NA,14.462,4,NA,NA,NA,NA
213,"hake_ex213.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.505,0.138,0.505,0.922,NA,0.3985,0.0513,0.3622,0.9115,NA,0.3985,0.0513,0.3622,0.9115,11.877,4,NA,NA,NA,NA,15.889,4,NA,NA,NA,NA,15.889,4,NA,NA,NA,NA
214,"hake_ex214.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0268,0.4685,0.4685,0.6998,NA,0.0326,0.2046,0.072,0.7687,NA,0.0326,0.2046,0.072,0.7687,17.637,4,NA,NA,NA,NA,22.929,4,NA,NA,NA,NA,22.929,4,NA,NA,NA,NA
215,"hake_ex215.lst","Negative binomial","(ii)","(ii)","(ii)",NA,9.4e-05,1,1,1,NA,0.00015,1,1,1,NA,0.00015,1,1,1,33.526,4,NA,NA,NA,NA,30.708,4,NA,NA,NA,NA,30.708,4,NA,NA,NA,NA
216,"hake_ex216.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.01524,0.10875,0.62166,0.69982,NA,0.01561,0.14841,0.66692,0.95831,NA,0.01561,0.14841,0.66692,0.95831,21.686,4,NA,NA,NA,NA,18.782,4,NA,NA,NA,NA,18.782,4,NA,NA,NA,NA
217,"hake_ex217.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.7738,0.0271,0.0674,0.1337,NA,0.7747,0.0361,0.1188,0.0625,NA,0.7747,0.0361,0.1188,0.0625,19.877,4,NA,NA,NA,NA,22.154,4,NA,NA,NA,NA,22.154,4,NA,NA,NA,NA
218,"hake_ex218.lst","Negative binomial","(v)","(v)","(v)",NA,0.665,0.03,0.071,0.016,NA,0.474,0.039,0.064,0.021,NA,0.474,0.039,0.064,0.021,11.655,4,NA,NA,NA,NA,12.074,4,NA,NA,NA,NA,12.074,4,NA,NA,NA,NA
219,"hake_ex219.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.023,0.278,1,1,NA,0.024,0.158,0.889,0.889,NA,0.024,0.158,0.889,0.889,11.508,4,NA,NA,NA,NA,10.609,4,NA,NA,NA,NA,10.609,4,NA,NA,NA,NA
220,"hake_ex220.lst","Negative binomial","(iii)","(iii)","(iii)",NA,1,0.015,0.195,0.109,NA,1,0.044,0.169,0.103,NA,1,0.044,0.169,0.103,9.3538,4,NA,NA,NA,NA,4.4923,4,NA,NA,NA,NA,4.4923,4,NA,NA,NA,NA
221,"hake_ex221.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.01979,0.00069,0.00308,0.01397,NA,0.0221,0.0013,0.0039,0.0102,NA,0.0221,0.0013,0.0039,0.0102,15.597,4,NA,NA,NA,NA,16.188,4,NA,NA,NA,NA,16.188,4,NA,NA,NA,NA
222,"hake_ex222.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.88,1,1,1,NA,0.57,1,1,1,NA,0.57,1,1,1,3.5569,4,NA,NA,NA,NA,3.8523,4,NA,NA,NA,NA,3.8523,4,NA,NA,NA,NA
223,"hake_ex223.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.5231,4,NA,NA,NA,NA,1.6,4,NA,NA,NA,NA,1.6,4,NA,NA,NA,NA
224,"hake_ex224.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.6774,0.0011,0.0014,0.0048,NA,0.9096,0.0015,0.0019,0.0047,NA,0.9096,0.0015,0.0019,0.0047,17.74,4,NA,NA,NA,NA,20.388,4,NA,NA,NA,NA,20.388,4,NA,NA,NA,NA
225,"hake_ex225.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.295,1,1,1,NA,0.264,1,1,1,NA,0.264,1,1,1,9.7354,4,NA,NA,NA,NA,12.049,4,NA,NA,NA,NA,12.049,4,NA,NA,NA,NA
226,"hake_ex226.lst","Negative binomial","(ii)","(iii)","(iii)",NA,1,1,1,1,NA,1,0.97,1,1,NA,1,0.97,1,1,5.3292,4,NA,NA,NA,NA,2.6831,4,NA,NA,NA,NA,2.6831,4,NA,NA,NA,NA
227,"hake_ex227.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.9168,0.0729,0.0971,0.1,NA,0.8868,0.1093,0.1168,0.1138,NA,0.8868,0.1093,0.1168,0.1138,11.077,4,NA,NA,NA,NA,10.831,4,NA,NA,NA,NA,10.831,4,NA,NA,NA,NA
228,"hake_ex228.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.009,0.824,0.12,0.12,NA,0.0088,1,0.1849,0.1088,NA,0.0088,1,0.1849,0.1088,26.708,4,NA,NA,NA,NA,32.012,4,NA,NA,NA,NA,32.012,4,NA,NA,NA,NA
229,"hake_ex229.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0376,1,1,1,NA,0.0424,1,1,1,NA,0.0424,1,1,1,16.394,4,NA,NA,NA,NA,14.708,4,NA,NA,NA,NA,14.708,4,NA,NA,NA,NA
230,"hake_ex230.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.314,0.314,0.707,0.388,NA,0.37,0.37,0.734,0.42,NA,0.37,0.37,0.734,0.42,41.083,4,NA,NA,NA,NA,40.148,4,NA,NA,NA,NA,40.148,4,NA,NA,NA,NA
231,"hake_ex231.lst","Negative binomial","(ii)","(ii)","(ii)",NA,6.3e-05,1,1,1,NA,1e-04,0.88071,0.88071,0.88071,NA,1e-04,0.88071,0.88071,0.88071,29.034,4,NA,NA,NA,NA,25.452,4,NA,NA,NA,NA,25.452,4,NA,NA,NA,NA
232,"hake_ex232.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.05164,1,1,1,NA,0.08157,1,1,1,NA,0.08157,1,1,1,18.4,4,NA,NA,NA,NA,19.262,4,NA,NA,NA,NA,19.262,4,NA,NA,NA,NA
233,"hake_ex233.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.79,1,1,1,NA,0.85,1,1,1,NA,0.85,1,1,1,38.757,4,NA,NA,NA,NA,36.591,4,NA,NA,NA,NA,36.591,4,NA,NA,NA,NA
234,"hake_ex234.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.163,0.223,0.398,0.457,NA,0.14,0.19,0.46,0.46,NA,0.14,0.19,0.46,0.46,14.117,4,NA,NA,NA,NA,15.225,4,NA,NA,NA,NA,15.225,4,NA,NA,NA,NA
235,"hake_ex235.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.004,0.315,0.211,0.937,NA,0.0076,0.4921,0.1855,0.9948,NA,0.0076,0.4921,0.1855,0.9948,18.252,4,NA,NA,NA,NA,17.588,4,NA,NA,NA,NA,17.588,4,NA,NA,NA,NA
236,"hake_ex236.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.00096,1,1,1,NA,0.0015,1,1,1,NA,0.0015,1,1,1,19.852,4,NA,NA,NA,NA,17.231,4,NA,NA,NA,NA,17.231,4,NA,NA,NA,NA
237,"hake_ex237.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.00207,0.21879,0.7687,0.21879,NA,0.00274,0.16069,0.61943,0.16069,NA,0.00274,0.16069,0.61943,0.16069,33.391,4,NA,NA,NA,NA,29.255,4,NA,NA,NA,NA,29.255,4,NA,NA,NA,NA
238,"hake_ex238.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0029,0.3106,0.4978,1,NA,0.0034,0.6717,0.924,1,NA,0.0034,0.6717,0.924,1,17.982,4,NA,NA,NA,NA,16.406,4,NA,NA,NA,NA,16.406,4,NA,NA,NA,NA
239,"hake_ex239.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.031,1,0.956,1,NA,0.037,1,0.903,1,NA,0.037,1,0.903,1,13.083,4,NA,NA,NA,NA,16.148,4,NA,NA,NA,NA,16.148,4,NA,NA,NA,NA
240,"hake_ex240.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.1271,0.0401,0.3239,0.4445,NA,0.1143,0.0105,0.1366,0.4253,NA,0.1143,0.0105,0.1366,0.4253,17.735,4,NA,NA,NA,NA,22.498,4,NA,NA,NA,NA,22.498,4,NA,NA,NA,NA
241,"hake_ex241.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.00067,1,1,1,NA,5e-04,1,1,1,NA,5e-04,1,1,1,21.994,4,NA,NA,NA,NA,29.071,4,NA,NA,NA,NA,29.071,4,NA,NA,NA,NA
242,"hake_ex242.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.031,1,1,1,NA,0.034,1,1,1,NA,0.034,1,1,1,4.9969,4,NA,NA,NA,NA,7.3723,4,NA,NA,NA,NA,7.3723,4,NA,NA,NA,NA
243,"hake_ex243.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.12,0.12,0.5604,0.734,NA,0.1553,0.1658,1,1,NA,0.1553,0.1658,1,1,22.314,4,NA,NA,NA,NA,19.889,4,NA,NA,NA,NA,19.889,4,NA,NA,NA,NA
