"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
51,"hake_ex51.lst","Poisson","(ii)","(ii)","(ii)",NA,8.3e-14,0.085,0.372,0.342,NA,6.5e-14,0.0299,0.3016,0.3016,NA,6.5e-14,0.0299,0.3016,0.3016,110.57,4,NA,NA,NA,NA,108.59,4,NA,NA,NA,NA,108.59,4,NA,NA,NA,NA
52,"hake_ex52.lst","Poisson","(ii)","(ii)","(ii)",NA,1.5e-06,1,0.426,1,NA,7.9e-07,1,0.291,1,NA,7.9e-07,1,0.291,1,35.947,4,NA,NA,NA,NA,45.064,4,NA,NA,NA,NA,45.064,4,NA,NA,NA,NA
53,"hake_ex53.lst","Poisson","(ii)","(ii)","(ii)",NA,4.9e-09,0.047,0.048,0.982,NA,2.2e-09,0.056,0.056,0.812,NA,2.2e-09,0.056,0.056,0.812,57.338,4,NA,NA,NA,NA,59.714,4,NA,NA,NA,NA,59.714,4,NA,NA,NA,NA
54,"hake_ex54.lst","Poisson","(ii)","(ii)","(ii)",NA,3.3e-16,0.0777,0.5192,0.2709,NA,1.3e-15,0.0216,0.2919,0.2407,NA,1.3e-15,0.0216,0.2919,0.2407,101,4,NA,NA,NA,NA,95.135,4,NA,NA,NA,NA,95.135,4,NA,NA,NA,NA
55,"hake_ex55.lst","Poisson","(iii)","(iii)","(iii)",NA,0.2768,2.6e-07,0.0624,0.0334,NA,0.475,8.6e-07,0.031,0.031,NA,0.475,8.6e-07,0.031,0.031,41.438,4,NA,NA,NA,NA,35.813,4,NA,NA,NA,NA,35.813,4,NA,NA,NA,NA
56,"hake_ex56.lst","Poisson","(iv)","(iv)","(iv)",NA,0.17,7.8e-10,3.6e-11,7.8e-10,NA,0.14,5.2e-10,6e-13,3.2e-09,NA,0.14,5.2e-10,6e-13,3.2e-09,82.549,4,NA,NA,NA,NA,82.754,4,NA,NA,NA,NA,82.754,4,NA,NA,NA,NA
57,"hake_ex57.lst","Poisson","(ii)","(ii)","(ii)",NA,1.4e-08,0.61,0.13,0.48,NA,4.3e-08,0.504,0.061,0.279,NA,4.3e-08,0.504,0.061,0.279,99.784,4,NA,NA,NA,NA,97.156,4,NA,NA,NA,NA,97.156,4,NA,NA,NA,NA
58,"hake_ex58.lst","Poisson","(iii)","(iii)","(iii)",NA,0.96551,7.1e-08,0.00193,0.00116,NA,0.89189,1.2e-07,0.01385,0.00917,NA,0.89189,1.2e-07,0.01385,0.00917,31.92,4,NA,NA,NA,NA,26.153,4,NA,NA,NA,NA,26.153,4,NA,NA,NA,NA
59,"hake_ex59.lst","Poisson","(iii)","(iii)","(iii)",NA,0.00039,4e-13,7.8e-10,1.1e-12,NA,0.00023,4.2e-13,1.6e-10,5.6e-13,NA,0.00023,4.2e-13,1.6e-10,5.6e-13,55.685,4,NA,NA,NA,NA,61.611,4,NA,NA,NA,NA,61.611,4,NA,NA,NA,NA
60,"hake_ex60.lst","Poisson","(ii)","(ii)","(ii)",NA,2.3e-06,0.037,0.024,0.101,NA,1.4e-06,0.058,0.058,0.109,NA,1.4e-06,0.058,0.058,0.109,87.838,4,NA,NA,NA,NA,82.138,4,NA,NA,NA,NA,82.138,4,NA,NA,NA,NA
