"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
83,"faces_ex83.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",0,3,4,0.1,0.5,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
84,"faces_ex84.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",1,3,8,0.1,0.5,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
85,"faces_ex85.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",-1,3,2,0.1,0.5,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
86,"faces_ex86.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",0,3,4,0.1,0.5,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
87,"faces_ex87.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",0,"G",1,3,8,0.1,0.5,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
88,"faces_ex88.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",-1,3,2,0.1,0.5,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
89,"faces_ex89.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",0,3,4,0.1,0.5,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
90,"faces_ex90.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
91,"faces_ex91.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
92,"faces_ex92.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
93,"faces_ex93.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
94,"faces_ex94.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
95,"faces_ex95.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",0,"G",0,3,4,0.1,1,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
96,"faces_ex96.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",0,"G",1,3,8,0.1,1,0.2,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
97,"faces_ex97.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",1,"G",-1,3,2,0.1,1,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
98,"faces_ex98.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",1,"G",0,3,4,0.1,1,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
99,"faces_ex99.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",0,"theta_CV",1,"G",1,3,8,0.1,1,0.6,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
100,"faces_ex100.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",1,"theta_CV",-1,"G",-1,3,2,0.1,2,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
