"p1","p2","p3","loglik","delta_loglik","relative_likelihood","gradient_norm","max_abs_gradient","boundary_distance","l1_distance_from_observed","l2_distance_from_observed"
0.608695652173913,0.217391304347826,0.173913043478261,-17429.313094733,-17259.0338554593,0,334374.038020291,239787.662828507,0.173913043478261,0.546397626624554,0.33560537689207
0.565217391304348,0.260869565217391,0.173913043478261,-13247.2195512238,-13076.94031195,0,321670.359647747,239787.662828507,0.173913043478261,0.459441104885424,0.287008811098719
0.521739130434783,0.304347826086957,0.173913043478261,-10275.0275768636,-10104.7483375899,0,313464.208749976,239787.662828507,0.173913043478261,0.372484583146293,0.244292003493156
0.478260869565217,0.347826086956522,0.173913043478261,-8363.89724456542,-8193.61800529168,0,308522.338697521,239787.662828507,0.173913043478261,0.309929770446917,0.211055786383762
0.434782608695652,0.391304347826087,0.173913043478261,-7427.43647189124,-7257.15723261749,0,306192.659720691,239787.662828507,0.173913043478261,0.309929770446917,0.192280897736629
0.391304347826087,0.434782608695652,0.173913043478261,-7425.7516999126,-7255.47246063885,0,306190.318506467,239787.662828507,0.173913043478261,0.309929770446917,0.192251863386828
0.347826086956522,0.478260869565217,0.173913043478261,-8358.83150787186,-8188.55226859811,0,308515.22502933,239787.662828507,0.173913043478261,0.309929770446917,0.210976422829611
0.304347826086957,0.521739130434783,0.173913043478261,-10266.5461433476,-10096.2669040739,0,313452.045602617,239787.662828507,0.173913043478261,0.372227795996276,0.244177721500587
0.260869565217391,0.565217391304348,0.173913043478261,-13235.2629187192,-13064.9836794455,0,321652.661455288,239787.662828507,0.173913043478261,0.459184317735407,0.286872628595733
0.217391304347826,0.608695652173913,0.173913043478261,-17413.7943858833,-17243.5151466095,0,334350.072376375,239787.662828507,0.173913043478261,0.546140839474537,0.335455640987897
0.173913043478261,0.652173913043478,0.173913043478261,-23046.4118321473,-22876.1325928735,0,353857.46499131,242741.677028598,0.173913043478261,0.633097361213668,0.387719622635666
0.130434782608696,0.695652173913043,0.173913043478261,-30543.9823907826,-30373.7031515088,0,384840.751258424,287570.113654281,0.130434782608696,0.720053882952798,0.442361798933694
0.0869565217391304,0.739130434782609,0.173913043478261,-40660.8537177265,-40490.5744784528,0,438311.601902898,357027.520541028,0.0869565217391304,0.807010404691929,0.498600895715133
0.0434782608695652,0.782608695652174,0.173913043478261,-55084.4755254816,-54914.1962862079,0,550614.989641232,489061.706628111,0.0434782608695652,0.893966926431059,0.555952499709264
0.739130434782609,0.0434782608695652,0.217391304347826,-49001.8554085892,-48831.5761693155,0,538252.240817778,489138.216293234,0.0434782608695652,0.807267191841946,0.510587113195914
0.695652173913043,0.0869565217391304,0.217391304347826,-34754.5071945179,-34584.2279552441,0,422769.359388389,357096.157102174,0.0869565217391304,0.720310670102815,0.451638417825346
0.652173913043478,0.130434782608696,0.217391304347826,-24833.5743768549,-24663.2951375812,0,367197.328242114,287632.346268417,0.130434782608696,0.633354148363685,0.393467606573647
0.608695652173913,0.173913043478261,0.217391304347826,-17554.9033101983,-17384.6240709246,0,334809.2274046,242798.598719707,0.173913043478261,0.546397626624554,0.336478366411237
0.565217391304348,0.217391304347826,0.217391304347826,-12168.2898823624,-11998.0106430886,0,314430.341700909,210891.846970631,0.217391304347826,0.459441104885424,0.28138951895144
0.521739130434783,0.260869565217391,0.217391304347826,-8268.13525135047,-8097.85601207672,0,301310.947015297,208119.091571289,0.217391304347826,0.372484583146293,0.229573230934355
0.478260869565217,0.304347826086957,0.217391304347826,-5616.96436740982,-5446.68512813607,0,293102.147010042,208119.091571289,0.217391304347826,0.285528061407163,0.183818149322973
0.434782608695652,0.347826086956522,0.217391304347826,-4074.88813864102,-3904.60889936727,0,288575.370240466,208119.091571289,0.217391304347826,0.222973248707787,0.149785821599959
0.391304347826087,0.391304347826087,0.217391304347826,-3567.50671000371,-3397.22747072997,0,287125.652704844,208119.091571289,0.217391304347826,0.222973248707787,0.136542701588896
0.347826086956522,0.434782608695652,0.217391304347826,-4071.41464692994,-3901.1354076562,0,288569.792269455,208119.091571289,0.217391304347826,0.222973248707787,0.149711265558013
0.304347826086957,0.478260869565217,0.217391304347826,-5609.99228805024,-5439.7130487765,0,293090.790689286,208119.091571289,0.217391304347826,0.285271274257146,0.183696634116516
0.260869565217391,0.521739130434783,0.217391304347826,-8257.6132872313,-8087.33404795756,0,301293.398615137,208119.091571289,0.217391304347826,0.372227795996276,0.229427287848374
