"p1","p2","p3","p4","p5","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.4,0.16,0.36,0.04,0.04,0.371455766384377,0.0602306519495627,0.0602305971262341,0.0602306136647864,607
0.36,0.2,0.36,0.04,0.04,0.0410981713570303,0.0411070656242997,0.0411065910068786,0.0411085892358773,103
0.32,0.24,0.36,0.04,0.04,0.0162092660355073,0.0162096251244172,0.0162091501268396,0.0162094392028267,351
0.28,0.28,0.36,0.04,0.04,0.0365590034762353,0.0365590536198315,0.0365593791118566,0.0365591191204889,371
0.24,0.32,0.36,0.04,0.04,0.343212007785387,0.338465850770057,0.49233328158,0.0272373591287939,947
0.2,0.36,0.36,0.04,0.04,0.424630382549084,0.424829377515256,0.0431395776488163,0.0431396782483192,403
0.16,0.4,0.36,0.04,0.04,0.0756690933846799,0.0756696528414859,0.0756642907651896,0.0756697672936644,99
0.12,0.44,0.36,0.04,0.04,0.0444558900137351,0.0444557131645277,0.0444582480893603,0.0444558145178383,480
0.08,0.48,0.36,0.04,0.04,0.360443790512386,0.0104730384940744,0.0104730456483938,0.0104730453614167,598
0.04,0.52,0.36,0.04,0.04,0.0239073762691309,0.0239075283331606,0.0239074560675559,0.0239082801636786,59
0.48,0.04,0.4,0.04,0.04,0.0493279137639437,0.0493294889382395,0.0493278023086052,0.0493276628518636,82
0.44,0.08,0.4,0.04,0.04,0.0785099834689438,0.0785101846780912,0.0785041335924365,0.078510958056564,91
0.4,0.12,0.4,0.04,0.04,0.0963867228870601,0.0963903561271623,0.0963928727815794,0.0963910337003922,109
0.36,0.16,0.4,0.04,0.04,0.0486505586917918,0.0486508909247849,0.048651296438153,0.0486505233584893,781
0.32,0.2,0.4,0.04,0.04,0.0548766096728684,0.0548744409694361,0.0548753387246159,0.0548735836306575,639
0.28,0.24,0.4,0.04,0.04,0.404770314407203,0.0212923689173693,0.021291649549451,0.0212920596351265,274
0.24,0.28,0.4,0.04,0.04,0.315107858149862,0.0745462530897131,0.074550834118604,0.0745467484195952,161
0.2,0.32,0.4,0.04,0.04,0.0297461939112118,0.0297464933986183,0.0297459114670489,0.0297463776891608,462
0.16,0.36,0.4,0.04,0.04,0.345947972967034,0.0183983652246602,0.01839693793939,0.0183968814730618,352
