"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","hit_upper","p1_hat","p2_hat","p3_hat"
"DMstrong",250,10,"MN",TRUE,0.140066650801205,NA,NA,0.106,0.498,0.396
"DMstrong",250,10,"DM",TRUE,0.129377835368312,0.0136394452215804,FALSE,0.208493108611362,0.45403748391824,0.337469407470398
"MN",25,11,"MN",TRUE,0.0864098759787715,NA,NA,0.12,0.26,0.62
"MN",25,11,"DM",FALSE,0.0864094297914876,10000,TRUE,0.119999400205258,0.260001472657866,0.619999127136876
"DMpure",25,11,"MN",TRUE,0.0565685424949238,NA,NA,0.16,0.38,0.46
"DMpure",25,11,"DM",TRUE,0.0575611765280391,5.92102356204445,FALSE,0.159877150360716,0.38140106345206,0.458721786187224
"DMstrong",25,11,"MN",TRUE,0.058878405775519,NA,NA,0.22,0.22,0.56
"DMstrong",25,11,"DM",TRUE,0.0495111427904499,0.144301903580267,FALSE,0.136657474348319,0.305828986926182,0.557513538725499
"MN",125,11,"MN",TRUE,0.0181842422626478,NA,NA,0.224,0.28,0.496
"MN",125,11,"DM",TRUE,0.0181856094792457,10000,TRUE,0.223998501711626,0.279992720367062,0.496008777921312
"DMpure",125,11,"MN",TRUE,0.0311555238547945,NA,NA,0.224,0.32,0.456
"DMpure",125,11,"DM",TRUE,0.0311555948459736,10000,TRUE,0.224000127804343,0.319999967884392,0.455999904311265
"DMstrong",125,11,"MN",TRUE,0.101245576035038,NA,NA,0.34,0.256,0.404
"DMstrong",125,11,"DM",TRUE,0.116005213128922,0.101482862376331,FALSE,0.363584272372793,0.228976038395569,0.407439689231638
"MN",250,11,"MN",TRUE,0.00282842712474619,NA,NA,0.196,0.302,0.502
"MN",250,11,"DM",TRUE,0.00282784744483215,10000,TRUE,0.196000820430104,0.302001547503273,0.501997632066623
"DMpure",250,11,"MN",TRUE,0.0160831174424198,NA,NA,0.184,0.322,0.494
"DMpure",250,11,"DM",TRUE,0.0160971472756724,1329.48891024825,FALSE,0.183977108227658,0.322015996220291,0.494006895552051
"DMstrong",250,11,"MN",TRUE,0.207518673858523,NA,NA,0.114,0.1,0.786
"DMstrong",250,11,"DM",TRUE,0.205703623990255,0.170512396731056,FALSE,0.103850512441931,0.110298739069083,0.785850748488986
"MN",25,12,"MN",TRUE,0.0748331477354788,NA,NA,0.1,0.38,0.52
"MN",25,12,"DM",TRUE,0.0748315358336189,10000,TRUE,0.100002200629048,0.379998370073341,0.519999429297611
"DMpure",25,12,"MN",TRUE,0.0489897948556636,NA,NA,0.26,0.24,0.5
"DMpure",25,12,"DM",TRUE,0.0489912112816703,10000,TRUE,0.259999052539289,0.239995583377971,0.50000536408274
"DMstrong",25,12,"MN",TRUE,0.0163299316185545,NA,NA,0.2,0.28,0.52
"DMstrong",25,12,"DM",TRUE,0.0169862399863559,10.9125354937232,FALSE,0.200109181189694,0.279141813972825,0.520749004837481
"MN",125,12,"MN",TRUE,0.00326598632371091,NA,NA,0.196,0.304,0.5
"MN",125,12,"DM",TRUE,0.00943833798320543,0.378174046900746,FALSE,0.187942345319764,0.310986957888719,0.501070696791517
"DMpure",125,12,"MN",TRUE,0.0117756811551038,NA,NA,0.204,0.284,0.512
"DMpure",125,12,"DM",TRUE,0.0117765070282605,10000,TRUE,0.204001337402994,0.283998575928861,0.512000086668145
"DMstrong",125,12,"MN",TRUE,0.0169705627484771,NA,NA,0.212,0.276,0.512
"DMstrong",125,12,"DM",TRUE,0.0392219043334591,0.0727780930160691,FALSE,0.250075005060665,0.254300767860428,0.495624227078907
"MN",250,12,"MN",TRUE,0.0101980390271856,NA,NA,0.204,0.31,0.486
"MN",250,12,"DM",TRUE,0.0101980799016457,10000,TRUE,0.203998187262715,0.310001411544664,0.486000401192621
"DMpure",250,12,"MN",TRUE,0.0185472369909914,NA,NA,0.184,0.29,0.526
"DMpure",250,12,"DM",TRUE,0.0185472739140227,10000,TRUE,0.183999882710063,0.290000079770151,0.526000037519786
"DMstrong",250,12,"MN",TRUE,0.098346326825154,NA,NA,0.188,0.426,0.386
"DMstrong",250,12,"DM",TRUE,0.0998459528718395,0.0652778281342402,FALSE,0.162344159565846,0.436685248025858,0.400970592408295
"MN",25,13,"MN",TRUE,0.114309521329882,NA,NA,0.34,0.3,0.36
"MN",25,13,"DM",TRUE,0.114309572832339,10000,TRUE,0.339999827878804,0.300000470395948,0.359999701725248
"DMpure",25,13,"MN",TRUE,0.0432049379893857,NA,NA,0.22,0.34,0.44
"DMpure",25,13,"DM",TRUE,0.0432052543233543,10000,TRUE,0.220000734528376,0.339999822390079,0.439999443081545
"DMstrong",25,13,"MN",TRUE,0.0711805216802087,NA,NA,0.26,0.2,0.54
"DMstrong",25,13,"DM",TRUE,0.0434798527561428,0.337892221054707,FALSE,0.215008384255093,0.240854664439311,0.544136951305596
"MN",125,13,"MN",TRUE,0.0149666295470958,NA,NA,0.196,0.284,0.52
"MN",125,13,"DM",TRUE,0.0149664726222714,10000,TRUE,0.196000304969486,0.283999992408147,0.519999702622367
"DMpure",125,13,"MN",TRUE,0.0448998886412873,NA,NA,0.212,0.348,0.44
"DMpure",125,13,"DM",TRUE,0.0449001570741953,10000,TRUE,0.212000119998518,0.348000254795629,0.439999625205853
"DMstrong",125,13,"MN",TRUE,0.0768027777275449,NA,NA,0.196,0.208,0.596
"DMstrong",125,13,"DM",TRUE,0.0911570309024818,0.100032587599771,FALSE,0.202445472771551,0.187153246612386,0.610401280616063
"MN",250,13,"MN",TRUE,0.00816496580927726,NA,NA,0.21,0.29,0.5
"MN",250,13,"DM",TRUE,0.008164490861713,10000,TRUE,0.209999486341876,0.290000649722451,0.499999863935673
"DMpure",250,13,"MN",TRUE,0.0441814440687491,NA,NA,0.196,0.248,0.556
"DMpure",250,13,"DM",TRUE,0.0441841963200815,10000,TRUE,0.1960023666176,0.247995307525756,0.556002325856644
"DMstrong",250,13,"MN",TRUE,0.120543214934175,NA,NA,0.274,0.396,0.33
"DMstrong",250,13,"DM",TRUE,0.106629222890745,0.0601516093143448,FALSE,0.254068425617233,0.394876167286278,0.351055407096489
"MN",25,14,"MN",TRUE,0.0432049379893858,NA,NA,0.14,0.32,0.54
"MN",25,14,"DM",TRUE,0.0432041772254838,10000,TRUE,0.140001060639698,0.319999627115109,0.539999312245193
"DMpure",25,14,"MN",TRUE,0.107082522694727,NA,NA,0.08,0.44,0.48
"DMpure",25,14,"DM",FALSE,0.10708251793832,10000,TRUE,0.0800005759276212,0.440000350400761,0.479999073671618
"DMstrong",25,14,"MN",TRUE,0.0326598632371091,NA,NA,0.2,0.34,0.46
"DMstrong",25,14,"DM",TRUE,0.0305419701952666,0.485642638545527,FALSE,0.228450764583791,0.313919482445052,0.457629752971156
"MN",125,14,"MN",TRUE,0.0395979797464467,NA,NA,0.244,0.308,0.448
"MN",125,14,"DM",TRUE,0.0395973272134573,10000,TRUE,0.243999847472505,0.307998952083878,0.448001200443617
"DMpure",125,14,"MN",TRUE,0.0311555238547944,NA,NA,0.24,0.264,0.496
"DMpure",125,14,"DM",TRUE,0.0302941411722775,2.21562897888818,FALSE,0.238690964812672,0.264721551283298,0.496587483904029
"DMstrong",125,14,"MN",TRUE,0.101245576035038,NA,NA,0.2,0.176,0.624
"DMstrong",125,14,"DM",TRUE,0.105633809584959,0.153432928061404,FALSE,0.218033839743869,0.162554741903138,0.619411418352994
"MN",250,14,"MN",TRUE,0.00432049379893857,NA,NA,0.204,0.302,0.494
"MN",250,14,"DM",TRUE,0.00432057910831325,10000,TRUE,0.204000109672713,0.302000001125938,0.493999889201349
"DMpure",250,14,"MN",TRUE,0.0256645020732269,NA,NA,0.206,0.328,0.466
"DMpure",250,14,"DM",TRUE,0.0256706081276811,10000,TRUE,0.206002054303165,0.328006257324389,0.465991688372446
"DMstrong",250,14,"MN",TRUE,0.0465044800709208,NA,NA,0.25,0.312,0.438
"DMstrong",250,14,"DM",TRUE,0.0649667175808412,0.0293904155041737,FALSE,0.246015512675483,0.345861257266001,0.408123230058516
"MN",25,15,"MN",TRUE,0.0432049379893858,NA,NA,0.14,0.34,0.52
"MN",25,15,"DM",TRUE,0.0432094448989792,10000,TRUE,0.139995134751861,0.340009745082035,0.519995120166105
"DMpure",25,15,"MN",TRUE,0.0432049379893857,NA,NA,0.16,0.36,0.48
"DMpure",25,15,"DM",TRUE,0.0432033535051997,10000,TRUE,0.160002322628189,0.359998013487247,0.479999663884564
