"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","N1"
0.540540540540541,0.27027027027027,0.189189189189189,0.0926327540277594,0.0926382792764551,0.0939131274450807,0.0926364871608856,0.0926415140207852,55
0.513513513513513,0.297297297297297,0.189189189189189,0.124745903150119,0.124751305529367,0.118613670248501,0.124746467682119,0.124752335448562,531
0.486486486486487,0.324324324324324,0.189189189189189,0.05168119491686,0.051677820680686,0.0471596812520987,0.0516814106974539,0.0516813948972011,418
0.459459459459459,0.351351351351351,0.189189189189189,0.575026068336956,0.379459851472655,0.0305565774328581,0.0295295095194031,0.0295304988868698,664
0.432432432432432,0.378378378378378,0.189189189189189,0.230887601090735,0.573747907733707,0.228703672023746,0.230882994686259,0.230894581379168,101
0.405405405405405,0.405405405405405,0.189189189189189,0.133827629726155,0.133827869039234,0.130180762679889,0.13382688268051,0.133823001880052,238
0.378378378378378,0.432432432432432,0.189189189189189,0.407830232612548,0.0864764706971034,0.0865617170469115,0.0864747627206163,0.0864746103797515,405
0.351351351351351,0.459459459459459,0.189189189189189,0.575026068368755,0.0523685878208936,0.0497781824932215,0.0523685607119936,0.0523683132564005,752
0.324324324324324,0.486486486486487,0.189189189189189,0.490996660034711,0.025511456266382,0.0240887856431317,0.0255114863377384,0.0255114280525763,991
0.297297297297297,0.513513513513513,0.189189189189189,0.0970470036346137,0.0970470302939224,0.0918557587510093,0.0970470329734283,0.0970442110306188,355
0.27027027027027,0.540540540540541,0.189189189189189,0.583529820846672,0.535562664775141,0.0589523313347323,0.060429048922277,0.060428819363887,869
0.243243243243243,0.567567567567568,0.189189189189189,0.13770460225417,0.137694816444709,0.13039263924882,0.137692471680604,0.137692888403876,281
